type help for help
{ (-7, 25) (-17, 30) (17, 16) } trig:15.00
{ (13, -10) (-16, -10) (13, -21) } trig:159.50
{ (-18, -16) (-3, -14) (2, -14) } trig:5.00
{ (2, 19) (-5, 27) (-25, 28) } trig:76.50
{ (23, 0) (-16, -8) (10, -12) } trig:182.00
{ (-13, 21) (-1, 28) (-25, -20) } trig:204.00
{ (-13, -25) (1, 5) (20, -6) } trig:362.00
{ (-28, 19) (3, 23) (-1, 14) } trig:131.50
{ (-26, -9) (13, -21) (1, 27) } trig:864.00
{ (-2, -12) (-30, -24) (-6, 21) } trig:486.00
{ (-22, -13) (-7, 24) (12, -31) } trig:764.00
{ (-12, -26) (18, 9) (-26, 24) } trig:995.00
{ (17, 20) (-22, -2) (-8, 15) } trig:177.50
{ (23, 13) (5, -30) (30, 1) } trig:258.50
{ (4, -4) (-22, 18) (-30, 19) } trig:75.00
{ (26, -19) (-16, 13) (18, 12) } trig:523.00
{ (-20, -11) (-3, -22) (1, 18) } trig:362.00
{ (5, -22) (-28, 15) (10, -14) } trig:224.50
{ (3, -14) (-14, 23) (20, 28) } trig:671.50
{ (1, 0) (-21, 30) (-23, -19) } trig:569.00
{ (-28, -7) (-10, -24) (23, 31) } trig:775.50
{ (-31, 12) (18, 28) (-25, 13) } trig:23.50
{ (-3, -6) (-1, 29) (-23, -16) } trig:340.00
{ (-1, 2) (-12, 4) (0, -12) } trig:76.00
{ (0, 2) (22, -13) (26, -12) } trig:41.00
{ (10, -27) (1, -20) (27, -10) } trig:136.00
{ (-28, -19) (3, 24) (8, 2) } trig:448.50
{ (7, -23) (14, 19) (-21, 10) } trig:703.50
{ (2, 25) (4, 6) (5, 9) } trig:12.50
{ (3, 5) (19, 3) (-27, -1) } trig:78.00
{ (-16, 16) (3, 26) (-26, -10) } trig:197.00
{ (-17, 17) (6, -20) (11, 24) } trig:598.50
{ (-25, 18) (-1, 21) (21, -4) } trig:333.00
{ (23, 22) (-9, 27) (28, 21) } trig:3.50
{ (-9, -18) (-17, 13) (-6, 10) } trig:158.50
{ (-12, 21) (2, 10) (-25, -27) } trig:407.50
{ (25, -5) (28, -22) (23, -30) } trig:54.50
{ (-23, 18) (26, -22) (29, -12) } trig:305.00
{ (-7, 10) (-3, 24) (0, -18) } trig:105.00
{ (30, -5) (5, -13) (-5, 26) } trig:527.50
{ (28, -21) (-4, 21) (17, 30) } trig:585.00
{ (23, -12) (-30, -30) (21, 13) } trig:680.50
{ (31, 5) (-27, 5) (-7, 2) } trig:87.00
{ (-12, 6) (28, 7) (29, -4) } trig:220.50
{ (7, -16) (-19, -12) (-5, -13) } trig:15.00
{ (0, 23) (20, -15) (-7, -11) } trig:473.00
{ (18, 31) (-21, -22) (2, 28) } trig:365.50
{ (14, -24) (-19, 20) (-20, 17) } trig:71.50
{ (-12, -23) (21, -2) (-3, -7) } trig:169.50
{ (-23, 17) (14, 31) (20, 9) } trig:449.00
{ (-7, -31) (2, -31) (22, 0) } trig:139.50
{ (-20, 29) (-13, -25) (-19, 20) } trig:4.50
{ (-10, -25) (-9, -21) (-22, 25) } trig:49.00
{ (-6, 8) (2, -2) (-16, 2) } trig:74.00
{ (-12, 12) (-9, 1) (5, 3) } trig:80.00
{ (29, -27) (-23, 14) (-27, 19) } trig:48.00
{ (-1, -30) (-29, -17) (-26, -13) } trig:75.50
{ (-17, -5) (13, 8) (25, -12) } trig:378.00
{ (0, 30) (-30, 0) (4, 31) } trig:45.00
{ (22, 10) (-16, 9) (20, -18) } trig:531.00
{ (16, -8) (6, -25) (-31, 24) } trig:559.50
{ (-14, -20) (-14, -10) (5, 16) } trig:95.00
{ (-8, 17) (4, 14) (-1, -9) } trig:145.50
{ (-15, -21) (-11, 11) (-5, 15) } trig:88.00
{ (8, 9) (31, 10) (-10, 17) } trig:101.00
{ (-24, -17) (21, -26) (-26, 4) } trig:463.50
{ (-7, 10) (28, -23) (31, 28) } trig:942.00
{ (20, -15) (15, -8) (3, 30) } trig:53.00
{ (-25, -28) (8, -19) (20, 27) } trig:705.00
{ (-12, -7) (-26, 15) (-16, 26) } trig:187.00
{ (-5, 12) (-6, 7) (3, -29) } trig:40.50
{ (-21, 23) (-14, -19) (-6, 28) } trig:332.50
{ (-3, -2) (8, 10) (-7, -15) } trig:47.50
{ (-3, -8) (-12, -4) (7, 11) } trig:105.50
{ (8, 10) (-23, 13) (-26, 6) } trig:113.00
{ (-27, -5) (-20, 23) (25, -12) } trig:752.50
{ (18, 0) (27, -15) (-11, 24) } trig:109.50
{ (-6, -10) (16, 6) (21, -14) } trig:260.00
{ (-31, -5) (23, 0) (-20, -25) } trig:567.50
{ (22, 24) (-7, 8) (-10, 6) } trig:5.00
{ (11, -29) (14, -12) (-19, -24) } trig:262.50
{ (-23, -25) (13, -13) (-23, 4) } trig:522.00
{ (13, -9) (-30, -21) (12, 28) } trig:801.50
{ (2, -9) (-17, -1) (-20, -12) } trig:116.50
{ (-25, -1) (19, 21) (18, 28) } trig:165.00
{ (-23, 4) (6, 14) (-23, 15) } trig:159.50
{ (4, 9) (-16, -8) (-27, -21) } trig:36.50
{ (-18, 11) (26, -7) (25, 6) } trig:277.00
{ (-8, -9) (12, 28) (17, 31) } trig:62.50
{ (-3, -1) (21, 7) (30, -17) } trig:324.00
{ (-16, 21) (18, 14) (25, -21) } trig:570.50
{ (7, -29) (5, 13) (-4, -29) } trig:231.00
{ (4, -29) (0, -13) (0, 17) } trig:60.00
{ (13, 23) (-6, -13) (-11, 23) } trig:432.00
{ (5, -3) (-21, 29) (27, -8) } trig:287.00
{ (4, 30) (-15, -18) (-1, 18) } trig:6.00
{ (10, -20) (-24, -19) (22, 28) } trig:822.00
{ (-20, 14) (17, 27) (30, 14) } trig:325.00
{ (24, -15) (-31, -24) (-28, 9) } trig:894.00
{ (-22, 21) (23, 0) (2, -9) } trig:423.00
 n: disk_ops: 1



{ (23, 22) (-9, 27) (28, 21) } trig:3.50
{ (-20, 29) (-13, -25) (-19, 20) } trig:4.50
{ (22, 24) (-7, 8) (-10, 6) } trig:5.00
{ (-18, -16) (-3, -14) (2, -14) } trig:5.00
{ (4, 30) (-15, -18) (-1, 18) } trig:6.00
{ (2, 25) (4, 6) (5, 9) } trig:12.50
{ (-7, 25) (-17, 30) (17, 16) } trig:15.00
{ (7, -16) (-19, -12) (-5, -13) } trig:15.00
{ (-31, 12) (18, 28) (-25, 13) } trig:23.50
{ (4, 9) (-16, -8) (-27, -21) } trig:36.50
{ (-5, 12) (-6, 7) (3, -29) } trig:40.50
{ (0, 2) (22, -13) (26, -12) } trig:41.00
{ (0, 30) (-30, 0) (4, 31) } trig:45.00
{ (-3, -2) (8, 10) (-7, -15) } trig:47.50
{ (29, -27) (-23, 14) (-27, 19) } trig:48.00
{ (-10, -25) (-9, -21) (-22, 25) } trig:49.00
{ (20, -15) (15, -8) (3, 30) } trig:53.00
{ (25, -5) (28, -22) (23, -30) } trig:54.50
{ (4, -29) (0, -13) (0, 17) } trig:60.00
{ (-8, -9) (12, 28) (17, 31) } trig:62.50
{ (14, -24) (-19, 20) (-20, 17) } trig:71.50
{ (-6, 8) (2, -2) (-16, 2) } trig:74.00
{ (4, -4) (-22, 18) (-30, 19) } trig:75.00
{ (-1, -30) (-29, -17) (-26, -13) } trig:75.50
{ (-1, 2) (-12, 4) (0, -12) } trig:76.00
{ (2, 19) (-5, 27) (-25, 28) } trig:76.50
{ (3, 5) (19, 3) (-27, -1) } trig:78.00
{ (-12, 12) (-9, 1) (5, 3) } trig:80.00
{ (31, 5) (-27, 5) (-7, 2) } trig:87.00
{ (-15, -21) (-11, 11) (-5, 15) } trig:88.00
{ (-14, -20) (-14, -10) (5, 16) } trig:95.00
{ (8, 9) (31, 10) (-10, 17) } trig:101.00
{ (-7, 10) (-3, 24) (0, -18) } trig:105.00
{ (-3, -8) (-12, -4) (7, 11) } trig:105.50
{ (18, 0) (27, -15) (-11, 24) } trig:109.50
{ (8, 10) (-23, 13) (-26, 6) } trig:113.00
{ (2, -9) (-17, -1) (-20, -12) } trig:116.50
{ (-28, 19) (3, 23) (-1, 14) } trig:131.50
{ (10, -27) (1, -20) (27, -10) } trig:136.00
{ (-7, -31) (2, -31) (22, 0) } trig:139.50
{ (-8, 17) (4, 14) (-1, -9) } trig:145.50
{ (-9, -18) (-17, 13) (-6, 10) } trig:158.50
{ (13, -10) (-16, -10) (13, -21) } trig:159.50
{ (-23, 4) (6, 14) (-23, 15) } trig:159.50
{ (-25, -1) (19, 21) (18, 28) } trig:165.00
{ (-12, -23) (21, -2) (-3, -7) } trig:169.50
{ (17, 20) (-22, -2) (-8, 15) } trig:177.50
{ (23, 0) (-16, -8) (10, -12) } trig:182.00
{ (-12, -7) (-26, 15) (-16, 26) } trig:187.00
{ (-16, 16) (3, 26) (-26, -10) } trig:197.00
{ (-13, 21) (-1, 28) (-25, -20) } trig:204.00
{ (-12, 6) (28, 7) (29, -4) } trig:220.50
{ (5, -22) (-28, 15) (10, -14) } trig:224.50
{ (7, -29) (5, 13) (-4, -29) } trig:231.00
{ (23, 13) (5, -30) (30, 1) } trig:258.50
{ (-6, -10) (16, 6) (21, -14) } trig:260.00
{ (11, -29) (14, -12) (-19, -24) } trig:262.50
{ (-18, 11) (26, -7) (25, 6) } trig:277.00
{ (5, -3) (-21, 29) (27, -8) } trig:287.00
{ (-23, 18) (26, -22) (29, -12) } trig:305.00
{ (-3, -1) (21, 7) (30, -17) } trig:324.00
{ (-20, 14) (17, 27) (30, 14) } trig:325.00
{ (-21, 23) (-14, -19) (-6, 28) } trig:332.50
{ (-25, 18) (-1, 21) (21, -4) } trig:333.00
{ (-3, -6) (-1, 29) (-23, -16) } trig:340.00
{ (-20, -11) (-3, -22) (1, 18) } trig:362.00
{ (-13, -25) (1, 5) (20, -6) } trig:362.00
{ (18, 31) (-21, -22) (2, 28) } trig:365.50
{ (-17, -5) (13, 8) (25, -12) } trig:378.00
{ (-12, 21) (2, 10) (-25, -27) } trig:407.50
{ (-22, 21) (23, 0) (2, -9) } trig:423.00
{ (13, 23) (-6, -13) (-11, 23) } trig:432.00
{ (-28, -19) (3, 24) (8, 2) } trig:448.50
{ (-23, 17) (14, 31) (20, 9) } trig:449.00
{ (-24, -17) (21, -26) (-26, 4) } trig:463.50
{ (0, 23) (20, -15) (-7, -11) } trig:473.00
{ (-2, -12) (-30, -24) (-6, 21) } trig:486.00
{ (-23, -25) (13, -13) (-23, 4) } trig:522.00
{ (26, -19) (-16, 13) (18, 12) } trig:523.00
{ (30, -5) (5, -13) (-5, 26) } trig:527.50
{ (22, 10) (-16, 9) (20, -18) } trig:531.00
{ (16, -8) (6, -25) (-31, 24) } trig:559.50
{ (-31, -5) (23, 0) (-20, -25) } trig:567.50
{ (1, 0) (-21, 30) (-23, -19) } trig:569.00
{ (-16, 21) (18, 14) (25, -21) } trig:570.50
{ (28, -21) (-4, 21) (17, 30) } trig:585.00
{ (-17, 17) (6, -20) (11, 24) } trig:598.50
{ (3, -14) (-14, 23) (20, 28) } trig:671.50
{ (23, -12) (-30, -30) (21, 13) } trig:680.50
{ (7, -23) (14, 19) (-21, 10) } trig:703.50
{ (-25, -28) (8, -19) (20, 27) } trig:705.00
{ (-27, -5) (-20, 23) (25, -12) } trig:752.50
{ (-22, -13) (-7, 24) (12, -31) } trig:764.00
{ (-28, -7) (-10, -24) (23, 31) } trig:775.50
{ (13, -9) (-30, -21) (12, 28) } trig:801.50
{ (10, -20) (-24, -19) (22, 28) } trig:822.00
{ (-26, -9) (13, -21) (1, 27) } trig:864.00
{ (24, -15) (-31, -24) (-28, 9) } trig:894.00
{ (-7, 10) (28, -23) (31, 28) } trig:942.00
{ (-12, -26) (18, 9) (-26, 24) } trig:995.00
 n: 100 disk_ops: 1

end info:
number of phases: 6
disk operations: 36
teoretical values: 
number of phases: 6
disk operations: 2.4
